agent,board,playclock,role,outcome,avg_depth,avg_nodes_per_sec
AlphaBetaAgent,5x5,3,black,draw,102776,1344108
AlphaBetaAgent,5x5,3,black,draw,64082,1385435
AlphaBetaAgent,5x5,3,black,draw,59603,1389237
AlphaBetaAgent,5x5,3,black,draw,53174,1388880
AlphaBetaAgent,5x5,3,black,draw,63048,1370505

AlphaBetaAgent,5x5,5,black,draw,89996,1391422
AlphaBetaAgent,5x5,5,black,draw,86534,1355838
AlphaBetaAgent,5x5,5,black,draw,132008,1374204
AlphaBetaAgent,5x5,5,black,draw,99252,1424828
AlphaBetaAgent,5x5,5,black,draw,213704,1376738

AlphaBetaAgent,5x5,10,black,win,9519,1373745
AlphaBetaAgent,5x5,10,black,draw,278851,1323897
AlphaBetaAgent,5x5,10,black,draw,212858,1379717
AlphaBetaAgent,5x5,10,black,draw,261492,1361468
AlphaBetaAgent,5x5,10,black,draw,385516,1360050
AlphaBetaAgent,5x5,10,black,draw,173606,1319304

AlphaBetaAgent,5x5,3,white,draw,8491,1375927
AlphaBetaAgent,5x5,3,white,win,630,1337186
AlphaBetaAgent,5x5,3,white,draw,10447,1325764
AlphaBetaAgent,5x5,3,white,draw,10914,1361161
AlphaBetaAgent,5x5,3,white,win,2264,1307248

AlphaBetaAgent,5x5,5,white,draw,30489,1344857
AlphaBetaAgent,5x5,5,white,draw,19115,1350205
AlphaBetaAgent,5x5,5,white,win,2407,1327718
AlphaBetaAgent,5x5,5,white,draw,53968,1352796
AlphaBetaAgent,5x5,5,white,win,41795,1342729

AlphaBetaAgent,5x5,10,white,win,65866,1328825
AlphaBetaAgent,5x5,10,white,win,88013,1358144
AlphaBetaAgent,5x5,10,white,win,60719,1348526
AlphaBetaAgent,5x5,10,white,win,81417,1309874
AlphaBetaAgent,5x5,10,white,win,86061,1377025

AlphaBetaAgent,7x7,3,black,win,4077,1298150
AlphaBetaAgent,7x7,3,black,draw,34687,1321464
AlphaBetaAgent,7x7,3,black,loss,131871,1302451
AlphaBetaAgent,7x7,3,black,draw,42496,1344129
AlphaBetaAgent,7x7,3,black,win,10518,1316445

AlphaBetaAgent,7x7,5,black,win,19715,1308291
AlphaBetaAgent,7x7,5,black,win,869,1292421
AlphaBetaAgent,7x7,5,black,win,34492,1300626
AlphaBetaAgent,7x7,5,black,win,11703,1268157
AlphaBetaAgent,7x7,5,black,win,20065,1278399

AlphaBetaAgent,7x7,10,black,draw,151049,1297862
AlphaBetaAgent,7x7,10,black,draw,95054,1284422
AlphaBetaAgent,7x7,10,black,win,50627,1289512
AlphaBetaAgent,7x7,10,black,win,29886,1271001
AlphaBetaAgent,7x7,10,black,draw,127474,1297926

AlphaBetaAgent,7x7,10,white,win,36505,1274919
AlphaBetaAgent,7x7,10,white,win,84948,1286652
AlphaBetaAgent,7x7,10,white,draw,31106,1285966
AlphaBetaAgent,7x7,10,white,draw,19829,1322385
AlphaBetaAgent,7x7,10,white,win,100633,1295656
